Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title
Coldplay,0.371,0.268,1,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,https://www.youtube.com/watch?v=1aokooixKIo,Sparks
Coldplay,0.617,0.635,11,-6.769,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160,https://www.youtube.com/watch?v=FM7MFYoylVs,The Chainsmokers & Coldplay - Something Just Like This (Lyric)
Coldplay,0.557,0.442,5,-7.224,0.0243,0.731,1.46E-05,0.11,0.213,146.277,309600,https://www.youtube.com/watch?v=RB-RcX5DS5A,Coldplay - The Scientist (Official 4K Video)
Coldplay,0.545,0.675,6,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,https://www.youtube.com/watch?v=VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video)
Coldplay,0.449,0.585,5,-6.761,0.0268,0.0509,8.75E-05,0.0833,0.212,139.631,278719,https://www.youtube.com/watch?v=1G4isv_Fylg,Coldplay - Paradise (Official Video)
Coldplay,0.491,0.693,0,-6.487,0.0377,0.211,6.92E-06,0.325,0.412,90.027,258267,https://www.youtube.com/watch?v=YykjpeuMNEk,Coldplay - Hymn For The Weekend (Official Video)
Coldplay,0.573,0.711,1,-6.268,0.0406,0.0114,0,0.328,0.47,105.006,226198,https://www.youtube.com/watch?v=3YqPKLZF_WU,Coldplay X BTS - My Universe (Official Video)
Coldplay,0.209,0.417,3,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,https://www.youtube.com/watch?v=k4V3Mo61fJM,Coldplay - Fix You (Official Video)
Daft Punk,0.794,0.811,6,-8.966,0.038,0.0426,1.07E-06,0.101,0.862,116.047,248413,https://www.youtube.com/watch?v=CCHdMIEGaaM,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers
Daft Punk,0.613,0.697,2,-8.618,0.133,0.0194,0,0.332,0.476,122.746,320357,https://www.youtube.com/watch?v=FGBhQbmPwH8,Daft Punk - One More Time (Official Video)
Daft Punk,0.775,0.585,10,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,337560,https://www.youtube.com/watch?v=a5uQMwRMHcs,Daft Punk - Instant Crush (Video) ft. Julian Casablancas
